Time(t)	 Analytic	 RK-4 
5.090000	 390.204050	 390.204050
5.100000	 390.505000	 390.505000
5.110000	 390.806050	 390.806050
5.120000	 391.107200	 391.107200
5.130000	 391.408450	 391.408450
5.140000	 391.709800	 391.709800
5.150000	 392.011250	 392.011250
5.160000	 392.312800	 392.312800
5.170000	 392.614450	 392.614450
5.180000	 392.916200	 392.916200
5.190000	 393.218050	 393.218050
5.200000	 393.520000	 393.520000
5.210000	 393.822050	 393.822050
5.220000	 394.124200	 394.124200
5.230000	 394.426450	 394.426450
5.240000	 394.728800	 394.728800
5.250000	 395.031250	 395.031250
5.260000	 395.333800	 395.333800
5.270000	 395.636450	 395.636450
5.280000	 395.939200	 395.939200
5.290000	 396.242050	 396.242050
5.300000	 396.545000	 396.545000
5.310000	 396.848050	 396.848050
5.320000	 397.151200	 397.151200
5.330000	 397.454450	 397.454450
5.340000	 397.757800	 397.757800
5.350000	 398.061250	 398.061250
5.360000	 398.364800	 398.364800
5.370000	 398.668450	 398.668450
5.380000	 398.972200	 398.972200
5.390000	 399.276050	 399.276050
5.400000	 399.580000	 399.580000
5.410000	 399.884050	 399.884050
5.420000	 400.188200	 400.188200
5.430000	 400.492450	 400.492450
5.440000	 400.796800	 400.796800
5.450000	 401.101250	 401.101250
5.460000	 401.405800	 401.405800
5.470000	 401.710450	 401.710450
5.480000	 402.015200	 402.015200
5.490000	 402.320050	 402.320050
5.500000	 402.625000	 402.625000
5.510000	 402.930050	 402.930050
5.520000	 403.235200	 403.235200
5.530000	 403.540450	 403.540450
5.540000	 403.845800	 403.845800
5.550000	 404.151250	 404.151250
5.560000	 404.456800	 404.456800
5.570000	 404.762450	 404.762450
5.580000	 405.068200	 405.068200
5.590000	 405.374050	 405.374050
5.600000	 405.680000	 405.680000
5.610000	 405.986050	 405.986050
5.620000	 406.292200	 406.292200
5.630000	 406.598450	 406.598450
5.640000	 406.904800	 406.904800
5.650000	 407.211250	 407.211250
5.660000	 407.517800	 407.517800
5.670000	 407.824450	 407.824450
5.680000	 408.131200	 408.131200
5.690000	 408.438050	 408.438050
5.700000	 408.745000	 408.745000
5.710000	 409.052050	 409.052050
5.720000	 409.359200	 409.359200
5.730000	 409.666450	 409.666450
5.740000	 409.973800	 409.973800
5.750000	 410.281250	 410.281250
5.760000	 410.588800	 410.588800
5.770000	 410.896450	 410.896450
5.780000	 411.204200	 411.204200
5.790000	 411.512050	 411.512050
5.800000	 411.820000	 411.820000
5.810000	 412.128050	 412.128050
5.820000	 412.436200	 412.436200
5.830000	 412.744450	 412.744450
5.840000	 413.052800	 413.052800
5.850000	 413.361250	 413.361250
5.860000	 413.669800	 413.669800
5.870000	 413.978450	 413.978450
5.880000	 414.287200	 414.287200
5.890000	 414.596050	 414.596050
5.900000	 414.905000	 414.905000
5.910000	 415.214050	 415.214050
5.920000	 415.523200	 415.523200
5.930000	 415.832450	 415.832450
5.940000	 416.141800	 416.141800
5.950000	 416.451250	 416.451250
5.960000	 416.760800	 416.760800
5.970000	 417.070450	 417.070450
5.980000	 417.380200	 417.380200
5.990000	 417.690050	 417.690050
6.000000	 418.000000	 418.000000
6.010000	 418.310050	 418.310050
6.020000	 418.620200	 418.620200
6.030000	 418.930450	 418.930450
6.040000	 419.240800	 419.240800
6.050000	 419.551250	 419.551250
6.060000	 419.861800	 419.861800
6.070000	 420.172450	 420.172450
6.080000	 420.483200	 420.483200
6.090000	 420.794050	 420.794050
6.100000	 421.105000	 421.105000
6.110000	 421.416050	 421.416050
6.120000	 421.727200	 421.727200
6.130000	 422.038450	 422.038450
6.140000	 422.349800	 422.349800
6.150000	 422.661250	 422.661250
6.160000	 422.972800	 422.972800
6.170000	 423.284450	 423.284450
6.180000	 423.596200	 423.596200
6.190000	 423.908050	 423.908050
6.200000	 424.220000	 424.220000
6.210000	 424.532050	 424.532050
6.220000	 424.844200	 424.844200
6.230000	 425.156450	 425.156450
6.240000	 425.468800	 425.468800
6.250000	 425.781250	 425.781250
6.260000	 426.093800	 426.093800
6.270000	 426.406450	 426.406450
6.280000	 426.719200	 426.719200
6.290000	 427.032050	 427.032050
6.300000	 427.345000	 427.345000
6.310000	 427.658050	 427.658050
6.320000	 427.971200	 427.971200
6.330000	 428.284450	 428.284450
6.340000	 428.597800	 428.597800
6.350000	 428.911250	 428.911250
6.360000	 429.224800	 429.224800
6.370000	 429.538450	 429.538450
6.380000	 429.852200	 429.852200
6.390000	 430.166050	 430.166050
6.400000	 430.480000	 430.480000
6.410000	 430.794050	 430.794050
6.420000	 431.108200	 431.108200
6.430000	 431.422450	 431.422450
6.440000	 431.736800	 431.736800
6.450000	 432.051250	 432.051250
6.460000	 432.365800	 432.365800
6.470000	 432.680450	 432.680450
6.480000	 432.995200	 432.995200
6.490000	 433.310050	 433.310050
6.500000	 433.625000	 433.625000
6.510000	 433.940050	 433.940050
6.520000	 434.255200	 434.255200
6.530000	 434.570450	 434.570450
6.540000	 434.885800	 434.885800
6.550000	 435.201250	 435.201250
6.560000	 435.516800	 435.516800
6.570000	 435.832450	 435.832450
6.580000	 436.148200	 436.148200
6.590000	 436.464050	 436.464050
6.600000	 436.780000	 436.780000
6.610000	 437.096050	 437.096050
6.620000	 437.412200	 437.412200
6.630000	 437.728450	 437.728450
6.640000	 438.044800	 438.044800
6.650000	 438.361250	 438.361250
6.660000	 438.677800	 438.677800
6.670000	 438.994450	 438.994450
6.680000	 439.311200	 439.311200
6.690000	 439.628050	 439.628050
6.700000	 439.945000	 439.945000
6.710000	 440.262050	 440.262050
6.720000	 440.579200	 440.579200
6.730000	 440.896450	 440.896450
6.740000	 441.213800	 441.213800
6.750000	 441.531250	 441.531250
6.760000	 441.848800	 441.848800
6.770000	 442.166450	 442.166450
6.780000	 442.484200	 442.484200
6.790000	 442.802050	 442.802050
6.800000	 443.120000	 443.120000
6.810000	 443.438050	 443.438050
6.820000	 443.756200	 443.756200
6.830000	 444.074450	 444.074450
6.840000	 444.392800	 444.392800
6.850000	 444.711250	 444.711250
6.860000	 445.029800	 445.029800
6.870000	 445.348450	 445.348450
6.880000	 445.667200	 445.667200
6.890000	 445.986050	 445.986050
6.900000	 446.305000	 446.305000
6.910000	 446.624050	 446.624050
6.920000	 446.943200	 446.943200
6.930000	 447.262450	 447.262450
6.940000	 447.581800	 447.581800
6.950000	 447.901250	 447.901250
6.960000	 448.220800	 448.220800
6.970000	 448.540450	 448.540450
6.980000	 448.860200	 448.860200
6.990000	 449.180050	 449.180050
7.000000	 449.500000	 449.500000
7.010000	 449.820050	 449.820050
7.020000	 450.140200	 450.140200
7.030000	 450.460450	 450.460450
7.040000	 450.780800	 450.780800
7.050000	 451.101250	 451.101250
7.060000	 451.421800	 451.421800
7.070000	 451.742450	 451.742450
7.080000	 452.063200	 452.063200
7.090000	 452.384050	 452.384050
7.100000	 452.705000	 452.705000
7.110000	 453.026050	 453.026050
7.120000	 453.347200	 453.347200
7.130000	 453.668450	 453.668450
7.140000	 453.989800	 453.989800
7.150000	 454.311250	 454.311250
7.160000	 454.632800	 454.632800
7.170000	 454.954450	 454.954450
7.180000	 455.276200	 455.276200
7.190000	 455.598050	 455.598050
7.200000	 455.920000	 455.920000
7.210000	 456.242050	 456.242050
7.220000	 456.564200	 456.564200
7.230000	 456.886450	 456.886450
7.240000	 457.208800	 457.208800
7.250000	 457.531250	 457.531250
7.260000	 457.853800	 457.853800
7.270000	 458.176450	 458.176450
7.280000	 458.499200	 458.499200
7.290000	 458.822050	 458.822050
7.300000	 459.145000	 459.145000
7.310000	 459.468050	 459.468050
7.320000	 459.791200	 459.791200
7.330000	 460.114450	 460.114450
7.340000	 460.437800	 460.437800
7.350000	 460.761250	 460.761250
7.360000	 461.084800	 461.084800
7.370000	 461.408450	 461.408450
7.380000	 461.732200	 461.732200
7.390000	 462.056050	 462.056050
7.400000	 462.380000	 462.380000
7.410000	 462.704050	 462.704050
7.420000	 463.028200	 463.028200
7.430000	 463.352450	 463.352450
7.440000	 463.676800	 463.676800
7.450000	 464.001250	 464.001250
7.460000	 464.325800	 464.325800
7.470000	 464.650450	 464.650450
7.480000	 464.975200	 464.975200
7.490000	 465.300050	 465.300050
7.500000	 465.625000	 465.625000
7.510000	 465.950050	 465.950050
7.520000	 466.275200	 466.275200
7.530000	 466.600450	 466.600450
7.540000	 466.925800	 466.925800
7.550000	 467.251250	 467.251250
7.560000	 467.576800	 467.576800
7.570000	 467.902450	 467.902450
7.580000	 468.228200	 468.228200
7.590000	 468.554050	 468.554050
7.600000	 468.880000	 468.880000
7.610000	 469.206050	 469.206050
7.620000	 469.532200	 469.532200
7.630000	 469.858450	 469.858450
7.640000	 470.184800	 470.184800
7.650000	 470.511250	 470.511250
7.660000	 470.837800	 470.837800
7.670000	 471.164450	 471.164450
7.680000	 471.491200	 471.491200
